	Game Day		8/3/2026																		
																					
																					
	Acandor	Robby		Grimmel	Chris		Devy	Justin		Drune	Bill		Bismas	Bill		Ike	Bill		Ronan	Lou	
	Magic User	3		Gnome	3		Fighter	3		Magic User	4		Thief	3		Fighter	1		Thief	1	
	Left the World			Left the World			Left the World			Left the World			Left the World			Left the World			Left the World		
	12/31/2025			10/30/2025			11/6/2025			3/11/2026			11/6/2025			9/30/2025			9/24/2025		
	Days	215		Days	277		Days	270		Days	145		Days	270		Days	307		Days	313	
	Healed	214d3		Healed	276d3		Healed	269d3		Healed	144d3		Healed	269d3		Healed	306d3		Healed	312d3	
	Inn Cost	1		Inn Cost	0.5		Inn Cost	1		Inn Cost	1		Inn Cost	0.5		Inn Cost	1		Inn Cost	0.5	
	Chests	0		Chests	0		Chests	0		Chests	0		Chests	0		Chests	0		Chests	0	
	Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5	
	Lifestyle Cost	322.5		Lifestyle Cost	277		Lifestyle Cost	405		Lifestyle Cost	217.5		Lifestyle Cost	270		Lifestyle Cost	460.5		Lifestyle Cost	313	
	Animals			Animals			Animals			Animals			Animals			Animals			Animals		
	Number	0		Number	2		Number	2		Number	2		Number	0		Number	0		Number	0	
	Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5	
	Animal Cost	0		Animal Cost	277		Animal Cost	270		Animal Cost	145		Animal Cost	0		Animal Cost	0		Animal Cost	0	
	Retainers			Retainers			Retainers			Retainers			Retainers			Retainers			Retainers		
	Number	2		Number	0		Number	4		Number	1		Number	0		Number	1		Number	0	
	Total Wage	2		Total Wage	0		Total Wage	4		Total Wage	1		Total Wage	0		Total Wage	1		Total Wage	0	
	Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5	
	Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5	
	Retainer Cost	860		Retainer Cost	0		Retainer Cost	2160		Retainer Cost	290		Retainer Cost	0		Retainer Cost	614		Retainer Cost	0	
	Cost Per Day	5.5		Cost Per Day	2		Cost Per Day	10.5		Cost Per Day	4.5		Cost Per Day	1		Cost Per Day	3.5		Cost Per Day	1	
	Total Cost	1182.5 gp		Total Cost	554 gp		Total Cost	2835 gp		Total Cost	652.5 gp		Total Cost	270 gp		Total Cost	1074.5 gp		Total Cost	313 gp	
																					
				Acotar	Avery		Sylas	Allan		Sithric	Mike		Aram	Avery		Elkhorn	Dave		Apagado	Jay	
				Elf	1		Fighter	1		Elf	1		Half Orc	1		Elf	1		Cleric	1	
	Left the World			Left the World			Left the World			Left the World			Left the World			Left the World			Left the World		
